	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
theta_c_pr[3,108]	-0.3247	0.003447	0.6889	0.6763	-1.82	-0.2827	0.9049	41540.0	29500.0	2.229	1.0
theta_c_pr[3,109]	0.3896	0.002668	0.5043	0.486	-0.6951	0.425	1.284	37270.0	28690.0	2.0	1.0
theta_c_pr[3,110]	0.255	0.002383	0.4233	0.4073	-0.6494	0.2791	1.022	33170.0	26130.0	1.78	1.0
theta_c_pr[3,111]	0.5702	0.002717	0.437	0.424	-0.3509	0.591	1.374	26440.0	26180.0	1.419	1.0
theta_c_pr[3,112]	0.387	0.002626	0.4801	0.4628	-0.6538	0.4233	1.234	36100.0	25100.0	1.937	1.0
theta_c_pr[3,113]	0.05178	0.002638	0.474	0.4569	-0.9765	0.08257	0.8859	34680.0	23970.0	1.861	1.0
theta_c_pr[3,114]	1.408	0.002379	0.3266	0.3185	0.7508	1.41	2.039	18890.0	23930.0	1.014	1.0
theta_c_pr[3,115]	1.844	0.003189	0.5825	0.5667	0.6581	1.857	2.972	33630.0	27570.0	1.804	1.0
theta_c_pr[3,116]	0.4361	0.002467	0.4406	0.4221	-0.513	0.4622	1.226	33640.0	26470.0	1.805	1.0
theta_c_pr[3,117]	-0.1189	0.002954	0.5256	0.5029	-1.281	-0.07423	0.7857	33180.0	27040.0	1.78	1.0
theta_c_pr[3,118]	0.121	0.003685	0.7183	0.7022	-1.425	0.1721	1.398	40290.0	26610.0	2.162	1.0
theta_c_pr[3,119]	1.01	0.003399	0.6319	0.6028	-0.3484	1.049	2.145	36310.0	28780.0	1.948	1.0
theta_c_pr[3,120]	-0.6399	0.003263	0.6217	0.6029	-2.016	-0.5889	0.4309	39460.0	25710.0	2.117	1.0
theta_c_pr[3,121]	-0.753	0.002978	0.5546	0.5391	-1.957	-0.7149	0.2182	36460.0	26740.0	1.957	1.0
theta_c_pr[3,122]	0.662	0.002812	0.4822	0.466	-0.3371	0.6841	1.551	30170.0	25730.0	1.619	1.0
theta_c_pr[3,123]	-0.1046	0.0037	0.7656	0.7538	-1.722	-0.06875	1.28	44250.0	29320.0	2.374	1.0
theta_c_pr[3,124]	0.05313	0.003381	0.6342	0.6129	-1.319	0.09808	1.183	37380.0	27460.0	2.006	1.0
