	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a_conf[1,87]	0.2447	0.0003015	0.05723	0.05567	0.1493	0.2388	0.3716	35860.0	33060.0	1.879	1.0
a_conf[1,88]	0.3197	0.0004239	0.07903	0.07929	0.181	0.3144	0.4889	33860.0	28240.0	1.774	1.0
a_conf[1,89]	0.3309	0.0003905	0.07624	0.07535	0.1983	0.3253	0.495	37680.0	30990.0	1.974	1.0
a_conf[1,90]	0.4418	0.000409	0.08495	0.08496	0.2826	0.4384	0.6153	43270.0	32730.0	2.267	1.0
a_conf[1,91]	0.1746	0.0006794	0.1024	0.09065	0.03893	0.1526	0.4277	22750.0	26920.0	1.192	1.0
a_conf[1,92]	0.3005	0.0004387	0.08247	0.08179	0.1593	0.2937	0.4798	34740.0	28430.0	1.82	1.0
a_conf[1,93]	0.2725	0.0004508	0.08297	0.08268	0.1305	0.2661	0.4529	32300.0	25790.0	1.693	1.0
a_conf[1,94]	0.368	0.0004467	0.08506	0.08533	0.2158	0.3633	0.5454	35710.0	29530.0	1.871	1.0
a_conf[1,95]	0.33	0.0003295	0.06182	0.061	0.2213	0.3258	0.4622	35520.0	32340.0	1.861	1.0
a_conf[1,96]	0.3331	0.0006336	0.1211	0.1239	0.1204	0.3254	0.5892	34740.0	24740.0	1.82	1.0
a_conf[1,97]	0.426	0.000496	0.09708	0.09774	0.2527	0.4204	0.6311	38060.0	30800.0	1.994	1.0
a_conf[1,98]	0.2338	0.0003297	0.06765	0.06665	0.1233	0.2268	0.3846	44020.0	29830.0	2.307	1.0
a_conf[1,99]	0.2367	0.0008159	0.1128	0.1165	0.06191	0.2236	0.4864	17220.0	19070.0	0.902	1.0
a_conf[1,100]	0.0946	0.0001986	0.03442	0.03254	0.04108	0.08978	0.1749	30480.0	29450.0	1.597	1.0
a_conf[1,101]	0.2736	0.0004182	0.07354	0.07242	0.1508	0.2671	0.437	30050.0	27860.0	1.574	1.0
a_conf[1,102]	0.2822	0.0003731	0.06914	0.0691	0.1647	0.2765	0.4309	33610.0	30670.0	1.761	1.0
a_conf[1,103]	0.222	0.0004452	0.07521	0.07311	0.1037	0.2119	0.394	27830.0	28440.0	1.458	1.0
a_conf[1,104]	0.2831	0.000374	0.06683	0.06634	0.165	0.2788	0.4255	31520.0	28520.0	1.651	1.0
a_conf[1,105]	0.4176	0.0005575	0.1132	0.1163	0.2139	0.4125	0.6509	40490.0	30230.0	2.121	1.0
