participant_ID,age,missed_rt_2,missed_rt_2_gt_5,missed_rt_2_gt_10,missed_rt_2_gt_20,short_rt_2,short_rt_2_gt_5,short_rt_2_gt_10,short_rt_2_gt_20
4079,13,0,0,0,0,0,0,0,0
453,16,1,0,0,0,2,0,0,0
529,23,0,0,0,0,0,0,0,0
225,18,4,0,0,0,24,1,1,1
5701,15,1,0,0,0,0,0,0,0
6936,14,0,0,0,0,2,0,0,0
5783,18,0,0,0,0,0,0,0,0
8,18,1,0,0,0,0,0,0,0
4539,12,10,1,0,0,80,1,1,1
5794,19,0,0,0,0,2,0,0,0
565,19,0,0,0,0,0,0,0,0
462,20,0,0,0,0,1,0,0,0
5523,20,0,0,0,0,59,1,1,1
3550,21,0,0,0,0,0,0,0,0
490,24,0,0,0,0,21,1,1,1
3526,23,0,0,0,0,0,0,0,0
466,18,0,0,0,0,23,1,1,1
322,13,1,0,0,0,1,0,0,0
20,21,18,1,1,0,27,1,1,1
237,24,1,0,0,0,8,1,0,0
358,21,0,0,0,0,0,0,0,0
396,21,0,0,0,0,0,0,0,0
446,19,0,0,0,0,0,0,0,0
4860,14,2,0,0,0,1,0,0,0
6087,14,0,0,0,0,4,0,0,0
522,21,0,0,0,0,0,0,0,0
5522,21,0,0,0,0,0,0,0,0
4634,20,0,0,0,0,0,0,0,0
4370,22,0,0,0,0,9,1,0,0
6852,10,0,0,0,0,1,0,0,0
420,25,0,0,0,0,2,0,0,0
1225,10,0,0,0,0,4,0,0,0
2082,21,1,0,0,0,0,0,0,0
6533,13,1,0,0,0,17,1,1,0
2125,18,1,0,0,0,0,0,0,0
201,20,0,0,0,0,1,0,0,0
4939,10,0,0,0,0,20,1,1,0
113,14,10,1,0,0,22,1,1,1
254,17,0,0,0,0,13,1,1,0
313,19,0,0,0,0,0,0,0,0
81,23,1,0,0,0,1,0,0,0
117,25,3,0,0,0,8,1,0,0
879,19,0,0,0,0,0,0,0,0
454,20,0,0,0,0,0,0,0,0
4078,24,0,0,0,0,0,0,0,0
2957,20,0,0,0,0,2,0,0,0
249,22,0,0,0,0,19,1,1,0
243,12,8,1,0,0,1,0,0,0
259,16,0,0,0,0,1,0,0,0
3563,12,0,0,0,0,3,0,0,0
3784,19,0,0,0,0,6,1,0,0
4557,21,0,0,0,0,18,1,1,0
251,22,0,0,0,0,0,0,0,0
828,12,0,0,0,0,0,0,0,0
5452,22,0,0,0,0,0,0,0,0
4577,21,0,0,0,0,5,0,0,0
577,13,0,0,0,0,0,0,0,0
3045,20,2,0,0,0,1,0,0,0
4010,21,0,0,0,0,0,0,0,0
3254,13,5,0,0,0,30,1,1,1
5716,23,0,0,0,0,1,0,0,0
1189,19,1,0,0,0,0,0,0,0
158,22,1,0,0,0,1,0,0,0
5357,19,0,0,0,0,0,0,0,0
6666,23,0,0,0,0,0,0,0,0
40,14,0,0,0,0,0,0,0,0
207,11,2,0,0,0,0,0,0,0
5281,25,0,0,0,0,1,0,0,0
5914,16,2,0,0,0,0,0,0,0
1190,21,1,0,0,0,14,1,1,0
3992,23,1,0,0,0,0,0,0,0
5469,24,0,0,0,0,154,1,1,1
281,13,27,1,1,1,4,0,0,0
448,14,0,0,0,0,0,0,0,0
1932,13,0,0,0,0,2,0,0,0
416,18,2,0,0,0,0,0,0,0
4930,15,0,0,0,0,8,1,0,0
3975,12,1,0,0,0,1,0,0,0
431,23,1,0,0,0,2,0,0,0
5715,14,0,0,0,0,0,0,0,0
4710,22,0,0,0,0,3,0,0,0
2303,25,0,0,0,0,38,1,1,1
