	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a2[1,33]	0.07942	0.0005489	0.09243	0.04199	0.006587	0.0431	0.3446	25100.0	32170.0	0.1965	1.0
a2[1,34]	0.0456	0.0004029	0.07013	0.02221	0.0006882	0.01889	0.2532	26610.0	28450.0	0.2083	1.0
a2[1,35]	0.1107	0.0004447	0.07831	0.05729	0.02746	0.08612	0.3216	30170.0	29610.0	0.2362	1.0
a2[1,36]	0.1819	0.0003148	0.06817	0.06634	0.07651	0.173	0.3388	44930.0	31880.0	0.3517	1.0
a2[1,37]	0.04338	0.0002603	0.04188	0.01981	0.008856	0.03057	0.1577	25640.0	27900.0	0.2007	1.0
a2[1,38]	0.1927	0.000177	0.0455	0.04595	0.1097	0.1907	0.2867	66650.0	33320.0	0.5217	1.0
a2[1,39]	0.1584	0.0001785	0.04274	0.04212	0.08754	0.1542	0.2535	58330.0	34930.0	0.4567	1.0
a2[1,40]	0.04696	0.0005704	0.08652	0.01802	0.0007232	0.01629	0.3244	20360.0	27410.0	0.1594	1.0
a2[1,41]	0.3584	0.0005095	0.1066	0.1059	0.1495	0.3575	0.5691	42540.0	19440.0	0.333	1.0
a2[1,42]	0.03498	0.0003202	0.04576	0.01663	0.003089	0.01909	0.1656	15900.0	26010.0	0.1244	1.0
a2[1,43]	0.09347	0.000268	0.047	0.03757	0.03561	0.08243	0.2147	34580.0	29340.0	0.2707	1.0
a2[1,44]	0.02258	0.0002776	0.04237	0.01047	0.0004428	0.01005	0.1302	23340.0	26260.0	0.1827	1.0
a2[1,45]	0.1146	0.0001704	0.03821	0.03638	0.05563	0.1094	0.2036	50560.0	32580.0	0.3958	1.0
a2[1,46]	0.04584	0.0001916	0.03267	0.01963	0.01358	0.03691	0.1331	36420.0	27960.0	0.2851	1.0
a2[1,47]	0.1636	0.0002279	0.04992	0.04986	0.0821	0.1583	0.2757	46680.0	30490.0	0.3654	1.0
a2[1,48]	0.3776	0.0004638	0.09939	0.1009	0.1948	0.3736	0.5815	44890.0	31920.0	0.3514	1.0
